item_id,property,value
1,price,price_val_3
1,category,category_val_4
2,color,color_val_4
2,price,price_val_9
2,category,category_val_8
3,price,price_val_9
3,category,category_val_2
3,brand,brand_val_5
4,category,category_val_8
4,price,price_val_1
4,color,color_val_5
5,category,category_val_7
6,price,price_val_2
7,color,color_val_4
7,category,category_val_3
7,price,price_val_5
8,category,category_val_1
8,price,price_val_5
9,price,price_val_2
10,brand,brand_val_8
10,color,color_val_3
11,category,category_val_2
11,brand,brand_val_6
12,color,color_val_2
12,brand,brand_val_0
13,price,price_val_4
13,category,category_val_2
13,brand,brand_val_3
14,price,price_val_2
14,category,category_val_0
15,brand,brand_val_6
16,price,price_val_2
17,category,category_val_5
17,price,price_val_3
17,brand,brand_val_4
18,brand,brand_val_4
19,color,color_val_1
20,category,category_val_8
20,price,price_val_6
20,brand,brand_val_9
21,price,price_val_5
22,brand,brand_val_7
22,price,price_val_8
22,category,category_val_5
23,price,price_val_7
23,category,category_val_4
24,price,price_val_9
25,brand,brand_val_7
26,brand,brand_val_3
26,category,category_val_2
27,color,color_val_5
27,price,price_val_2
28,color,color_val_6
28,brand,brand_val_2
29,brand,brand_val_8
29,price,price_val_4
30,price,price_val_4
30,color,color_val_9
30,category,category_val_9
31,price,price_val_6
31,category,category_val_9
31,brand,brand_val_7
32,category,category_val_9
33,category,category_val_2
34,brand,brand_val_5
34,category,category_val_4
34,color,color_val_7
35,brand,brand_val_9
35,category,category_val_7
36,category,category_val_3
36,color,color_val_6
36,price,price_val_3
37,brand,brand_val_5
37,color,color_val_6
37,category,category_val_4
38,price,price_val_0
39,brand,brand_val_9
39,price,price_val_8
39,category,category_val_8
40,brand,brand_val_1
40,category,category_val_1
40,price,price_val_7
41,brand,brand_val_5
41,color,color_val_0
41,price,price_val_3
42,brand,brand_val_8
42,color,color_val_3
42,category,category_val_7
43,category,category_val_1
43,color,color_val_8
43,price,price_val_4
44,price,price_val_8
44,brand,brand_val_5
45,color,color_val_5
45,category,category_val_1
46,category,category_val_9
46,color,color_val_0
47,brand,brand_val_2
47,color,color_val_3
47,price,price_val_2
48,price,price_val_5
48,category,category_val_3
48,brand,brand_val_5
49,price,price_val_9
49,brand,brand_val_6
50,brand,brand_val_7
50,color,color_val_7
50,price,price_val_8
51,brand,brand_val_7
52,color,color_val_6
52,price,price_val_8
52,category,category_val_0
53,category,category_val_6
53,color,color_val_3
53,price,price_val_2
54,category,category_val_9
54,price,price_val_3
55,brand,brand_val_1
55,category,category_val_3
56,color,color_val_4
57,color,color_val_8
57,brand,brand_val_1
57,category,category_val_7
58,price,price_val_8
58,brand,brand_val_1
58,category,category_val_9
59,price,price_val_7
59,brand,brand_val_5
60,brand,brand_val_6
60,price,price_val_8
60,color,color_val_9
61,color,color_val_5
62,brand,brand_val_0
62,price,price_val_1
62,color,color_val_5
63,price,price_val_9
63,brand,brand_val_7
64,brand,brand_val_5
64,color,color_val_5
65,category,category_val_7
65,price,price_val_0
65,color,color_val_8
66,category,category_val_3
66,price,price_val_5
66,color,color_val_7
67,brand,brand_val_4
67,price,price_val_0
67,color,color_val_6
68,brand,brand_val_2
68,color,color_val_1
69,price,price_val_1
69,category,category_val_7
69,brand,brand_val_9
70,price,price_val_9
71,price,price_val_4
71,color,color_val_8
71,brand,brand_val_7
72,brand,brand_val_6
72,category,category_val_1
72,color,color_val_2
73,color,color_val_3
73,price,price_val_4
74,brand,brand_val_0
74,category,category_val_3
75,brand,brand_val_0
76,price,price_val_5
77,price,price_val_1
78,category,category_val_0
78,color,color_val_4
78,price,price_val_0
79,category,category_val_3
79,brand,brand_val_1
79,price,price_val_7
80,category,category_val_8
81,category,category_val_1
81,price,price_val_4
82,price,price_val_6
82,category,category_val_9
83,color,color_val_4
83,brand,brand_val_7
83,category,category_val_2
84,color,color_val_1
85,category,category_val_3
85,brand,brand_val_7
86,category,category_val_9
86,price,price_val_8
87,category,category_val_5
87,price,price_val_2
87,brand,brand_val_4
88,color,color_val_0
89,category,category_val_9
89,color,color_val_1
90,category,category_val_9
90,brand,brand_val_0
91,price,price_val_3
91,category,category_val_4
91,color,color_val_2
92,price,price_val_5
92,brand,brand_val_4
92,category,category_val_4
93,price,price_val_4
93,brand,brand_val_2
93,color,color_val_6
94,color,color_val_7
95,brand,brand_val_9
96,price,price_val_0
96,category,category_val_7
97,color,color_val_4
97,brand,brand_val_6
97,price,price_val_0
98,price,price_val_3
99,price,price_val_0
99,brand,brand_val_8
99,category,category_val_3
100,color,color_val_9
100,price,price_val_6
101,color,color_val_3
101,brand,brand_val_9
101,category,category_val_9
102,price,price_val_0
102,category,category_val_8
102,brand,brand_val_8
103,category,category_val_6
103,brand,brand_val_7
103,price,price_val_7
104,category,category_val_5
104,price,price_val_9
104,brand,brand_val_0
105,category,category_val_4
105,price,price_val_5
105,color,color_val_0
106,color,color_val_1
106,price,price_val_3
107,price,price_val_8
108,color,color_val_4
108,price,price_val_3
108,brand,brand_val_6
109,color,color_val_0
109,brand,brand_val_7
109,price,price_val_6
110,color,color_val_8
111,price,price_val_0
111,color,color_val_4
112,brand,brand_val_5
112,color,color_val_0
113,category,category_val_0
113,price,price_val_3
113,color,color_val_9
114,color,color_val_0
114,brand,brand_val_4
115,brand,brand_val_5
115,price,price_val_6
116,brand,brand_val_9
117,price,price_val_6
117,brand,brand_val_3
117,category,category_val_4
118,price,price_val_8
119,color,color_val_4
119,brand,brand_val_0
120,brand,brand_val_6
120,category,category_val_5
120,color,color_val_5
121,price,price_val_6
122,brand,brand_val_2
122,category,category_val_3
123,price,price_val_0
123,category,category_val_9
124,brand,brand_val_3
125,category,category_val_1
126,brand,brand_val_4
127,price,price_val_0
127,brand,brand_val_2
128,price,price_val_8
128,brand,brand_val_6
129,color,color_val_4
129,brand,brand_val_3
129,category,category_val_2
130,color,color_val_2
130,brand,brand_val_5
130,category,category_val_0
131,color,color_val_6
131,brand,brand_val_3
131,category,category_val_1
132,brand,brand_val_5
132,color,color_val_4
133,color,color_val_9
133,price,price_val_3
133,category,category_val_4
134,price,price_val_0
134,category,category_val_0
134,brand,brand_val_4
135,brand,brand_val_8
135,price,price_val_7
135,color,color_val_7
136,category,category_val_3
136,brand,brand_val_8
136,price,price_val_3
137,brand,brand_val_0
138,color,color_val_1
138,price,price_val_6
139,brand,brand_val_4
140,price,price_val_5
140,category,category_val_3
141,price,price_val_5
142,color,color_val_3
143,color,color_val_7
143,brand,brand_val_4
143,price,price_val_2
144,brand,brand_val_0
145,brand,brand_val_7
146,category,category_val_9
147,category,category_val_1
147,brand,brand_val_3
148,category,category_val_8
148,price,price_val_2
148,color,color_val_4
149,color,color_val_9
149,category,category_val_4
149,brand,brand_val_1
150,color,color_val_9
150,category,category_val_8
150,brand,brand_val_0
151,category,category_val_5
151,price,price_val_2
152,price,price_val_7
152,brand,brand_val_2
152,category,category_val_3
153,price,price_val_6
153,color,color_val_6
153,brand,brand_val_1
154,price,price_val_7
154,brand,brand_val_3
155,price,price_val_5
155,color,color_val_7
156,brand,brand_val_2
156,price,price_val_4
157,color,color_val_9
157,price,price_val_0
158,brand,brand_val_8
158,category,category_val_9
159,category,category_val_4
159,color,color_val_8
159,brand,brand_val_4
160,price,price_val_9
160,category,category_val_4
161,brand,brand_val_6
161,category,category_val_8
162,brand,brand_val_5
162,color,color_val_1
162,price,price_val_4
163,color,color_val_2
164,brand,brand_val_6
164,category,category_val_6
165,color,color_val_6
166,price,price_val_6
166,brand,brand_val_7
167,brand,brand_val_3
167,category,category_val_8
167,color,color_val_4
168,color,color_val_4
